"Indicator","Country","Date","value"
"Cumulative number of probable Ebola cases","Guinea","2015-07-29",451
"Cumulative number of confirmed Ebola deaths","Sierra Leone","2015-07-29",3585
"Cumulative number of confirmed Ebola deaths","Guinea","2015-07-29",2069
"Cumulative number of probable Ebola cases","Sierra Leone","2015-07-29",287
"Cumulative number of confirmed, probable and suspected Ebola cases","Guinea","2015-07-29",3786
"Cumulative number of confirmed Ebola cases","Liberia","2015-07-29",3151
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Guinea","2015-07-29",39
"Number of confirmed Ebola cases in the last 21 days","Guinea","2015-07-29",39
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone","2015-07-29",13290
"Cumulative number of confirmed, probable and suspected Ebola deaths","Liberia","2015-07-29",4806
"Number of confirmed Ebola cases in the last 21 days","Sierra Leone","2015-07-29",20
"Cumulative number of suspected Ebola cases","Sierra Leone","2015-07-29",4309
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone","2015-07-29",3951
"Cumulative number of probable Ebola cases","Liberia","2015-07-29",1879
"Cumulative number of confirmed Ebola cases","Sierra Leone","2015-07-29",8694
"Cumulative number of suspected Ebola cases","Liberia","2015-07-29",5636
"Cumulative number of suspected Ebola deaths","Sierra Leone","2015-07-29",158
"Cumulative number of confirmed, probable and suspected Ebola cases","Liberia","2015-07-29",10666
"Cumulative number of suspected Ebola cases","Guinea","2015-07-29",9
"Cumulative number of probable Ebola deaths","Sierra Leone","2015-07-29",208
"Cumulative number of confirmed, probable and suspected Ebola deaths","Guinea","2015-07-29",2520
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Sierra Leone","2015-07-29",20
"Cumulative number of confirmed Ebola cases","Guinea","2015-07-29",3326
"Cumulative number of probable Ebola deaths","Guinea","2015-07-29",451
"Number of confirmed Ebola cases in the last 21 days","Liberia 2","2015-07-29",3
"Cumulative number of confirmed, probable and suspected Ebola deaths","Liberia 2","2015-07-29",2
"Cumulative number of confirmed Ebola cases","Liberia 2","2015-07-29",6
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Liberia 2","2015-07-29",3
"Cumulative number of confirmed Ebola deaths","Liberia 2","2015-07-29",2
"Cumulative number of confirmed, probable and suspected Ebola cases","Liberia 2","2015-07-29",6
